"","res","",""
"413","50","10","0000000000"
"414","51","3","001"
"415","51","4","001"
"416","51","4","001"
"417","51","5","001"
"418","51","7","0000000"
"419","51","6","000000"
"420","51","6","000000"
"421","51","4","0000"
"422","52","3","000000000000000000"
"423","52","6","110111"
"424","52","6","000100"
"425","52","7","1011111"
"426","52","5","00000"
"427","53","5","000"
"428","53","5","11111"
"429","53","5","11111"
"430","53","6","111111"
"431","53","6","111111"
"432","53","4","1111"
"433","54","3","111"
"434","54","5","11111"
"435","54","4","1111"
"436","54","4","0111"
"437","55","19","0000100000000000110"
"438","55","17","00000000000000000"
"439","55","17","00000000101010100"
"440","55","16","0000000000000000"
"441","55","10","0000000000"
"442","56","3","0"
"443","56","4","0"
"444","56","10","0000100000"
"445","56","7","0000000"
"446","56","9","000000000"
"447","56","4","0001"
"448","57","3","00"
"449","57","3","00"
"450","57","6","111101"
"451","57","13","0000000000000"
"452","57","14","00000000000000"
"453","57","4","0000"
"454","57","4","0000"
"455","58","3","11111"
"456","58","5","11111"
"457","58","5","11110"
"458","58","4","1111"
"459","59","12","000000000000"
"460","59","7","0000000"
"461","59","7","0000000"
"462","59","3","000"
"463","59","6","000000"
"464","59","6","000010"
"465","59","5","00000"
"466","60","5","00"
"467","60","10","0000001000"
"468","60","6","000000"
"469","60","5","00000"
"470","60","10","0000000000"
"471","60","8","00000000"
"472","60","7","0000000"
"473","60","6","000000"
"474","61","10","0000000000"
"475","61","11","00000000000"
"476","61","20","00000000000000000000"
"477","61","8","00000000"
"478","61","6","000000"
"479","62","5","11111"
"480","62","5","10111"
"481","62","5","10111"
"482","62","6","111111"
"483","62","6","111111"
"484","62","4","1111"
"485","62","4","1111"
"486","62","5","11111"
"487","62","5","11111"
"488","62","5","11111"
"489","62","4","1111"
"490","62","6","111111"
"491","62","10","0000111111"
"492","62","11","11111111011"
"493","62","13","1111111101111"
"494","62","9","000000000"
"495","62","9","111111111"
"496","62","6","111111"
"497","62","3","111"
"498","62","4","1111"
"499","62","4","1111"
"500","62","5","11101"
"501","62","4","1001"
"502","62","4","1101"
"503","63","8","00000000"
"504","63","10","1000001000"
"505","63","10","1000001000"
"506","63","4","1111"
"507","63","4","0000"
"508","63","3","000"
"509","63","4","0000"
"510","63","3","000"
"511","63","8","00000000"
"512","63","12","000000000000"
"513","63","10","0000000000"
"514","63","9","000000000"
"515","63","3","000"
"516","63","5","00000"
"517","63","8","10000000"
"518","63","5","00000"
"519","63","5","11001"
"520","63","3","000"
"521","63","3","000"
"522","63","3","000"
"523","63","3","000"
"524","63","4","0000"
"525","63","7","0000000"
"526","63","7","0000110"
"527","63","8","00000000"
"528","63","8","00000000"
"529","63","8","00000000"
"530","64","6","000000"
"531","64","6","000000"
"532","64","6","000000"
"533","64","7","0100000"
"534","64","10","0110000000"
"535","64","8","11100000"
"536","64","9","000000000"
"537","64","8","00000000"
"538","64","6","000000"
"539","64","6","000000"
"540","64","8","00010000"
"541","64","10","0000011110"
"542","64","10","0000000000"
"543","64","4","0000"
"544","64","4","0100"
"545","64","3","000"
"546","65","8","0"
"547","65","3","000"
"548","66","3","0"
"549","66","3","0"
"550","66","8","00000000"
"551","66","10","0000000000"
"552","66","10","0000000000"
"553","66","9","000000000"
"554","66","8","00000000"
"555","66","8","00000010"
"556","66","9","000000000"
"557","66","8","11100000"
"558","66","8","00000000"
"559","66","6","000000"
"560","66","10","0000000001"
"561","66","11","00000000000"
"562","66","3","000"
"563","67","3","00"
"564","67","6","000000"
"565","67","7","0000000"
"566","67","10","1111101011"
"567","68","3","00"
"568","68","3","000"
"569","68","3","000"
"570","68","8","00000000"
"571","68","4","0000"
"572","69","9","000000000"
"573","69","5","00110"
"574","69","5","00110"
"575","69","5","01000"
"576","69","4","1000"
"577","69","4","0000"
"578","69","4","0000"
"579","69","3","000"
"580","69","6","000000"
"581","69","5","00000"
"582","69","6","000000"
"583","69","6","000000"
"584","69","6","000000"
"585","69","8","00000000"
"586","69","5","00000"
"587","69","4","0000"
"588","70","3","0"
"589","70","5","0"
"590","70","7","0000000"
"591","70","9","000000000"
"592","70","12","000000000000"
"593","70","9","000000000"
"594","70","5","00000"
"595","70","5","11101"
"596","70","5","00000"
"597","70","5","00000"
"598","70","5","00010"
"599","71","10","0000000000"
"600","71","10","0000000000"
"601","71","13","0000000000000"
"602","71","9","111111111"
"603","71","9","000000000"
"604","71","4","1111"
"605","71","3","111"
"606","72","7","1011111"
"607","72","9","111111001"
"608","72","7","0000000"
"609","72","9","111111011"
"610","72","7","1010110"
"611","72","7","1110011"
"612","73","3","111"
"613","73","3","101"
"614","73","3","011"
"615","73","4","1111"
"616","73","4","0111"
"617","74","6","000000"
"618","74","14","01000001001011"
"619","74","13","1011100000101"
"620","74","16","0010000000000000"
"621","74","9","000000000"
"622","74","13","0000000000000"
"623","74","12","000000000000"
"624","74","9","000000000"
"625","75","10","0010000000"
"626","75","7","1100000"
"627","75","9","000000000"
"628","75","6","000001"
"629","75","5","00000"
"630","75","4","0011"
"631","75","4","0000"
"632","75","8","00101110"
"633","75","4","1101"
"634","75","3","100"
"635","76","4","100"
"636","76","3","111"
"637","76","7","1111111"
"638","76","6","111111"
"639","76","5","11111"
"640","76","4","1111"
"641","76","3","111"
"642","76","6","111111"
"643","76","3","000"
"644","76","7","1111111"
"645","76","7","1111111"
"646","76","7","1111001"
"647","77","4","1111"
"648","77","5","00000"
"649","78","3","1"
"650","78","5","1"
"651","78","4","1"
"652","78","3","011"
"653","78","6","111110"
"654","78","3","000"
"655","78","8","11111111"
"656","78","9","111111111"
"657","78","11","11111111111"
"658","78","9","111111111"
"659","78","8","11111111"
"660","78","8","00000000"
"661","78","6","100000"
"662","79","3","000"
"663","79","6","111111"
"664","79","7","1111111"
"665","79","5","11101"
"666","79","4","0000"
"667","79","3","000"
"668","79","4","0001"
"669","79","5","11100"
"670","79","9","111111111"
"671","79","9","111111111"
"672","79","9","111111111"
"673","79","8","11011011"
"674","79","8","11111111"
"675","79","6","000000"
"676","79","6","000011"
"677","79","7","1101111"
"678","81","4","1111"
"679","81","4","1111"
"680","81","3","101"
"681","81","3","111"
"682","81","3","000"
"683","82","6","000000"
"684","82","13","0000000000000"
"685","82","9","000000000"
"686","82","4","1011"
"687","82","3","101"
"688","82","3","111"
"689","82","3","011"
"690","82","3","011"
"691","82","3","011"
"692","82","3","101"
"693","83","3","011"
"694","83","5","01111"
"695","83","5","11111"
"696","84","4","1"
"697","84","6","1"
"698","84","10","0111111111"
"699","84","9","101110010"
"700","84","9","111100000"
"701","84","8","11111110"
"702","84","6","111111"
"703","84","5","10111"
"704","84","5","11110"
"705","84","6","111011"
"706","85","9","001100000"
"707","86","8","1111"
"708","86","13","1111"
"709","86","14","11111111111111"
"710","86","15","111101111111111"
"711","86","14","11101111111111"
"712","86","16","1111111111111111"
"713","86","11","11111111111"
"714","86","6","110111"
"715","86","6","111111"
"716","86","6","011111"
"717","87","3","11"
"718","87","3","11"
"719","87","5","11"
"720","87","5","11"
"721","87","6","11"
"722","87","4","1111"
"723","87","4","1111"
"724","87","5","11111"
"725","87","3","111"
"726","88","4","1001"
"727","89","6","0110"
"728","89","3","0110"
"729","89","8","00000000"
"730","89","9","000000000"
"731","90","7","0000000"
"732","90","10","1111111110"
"733","90","8","01111111"
"734","90","8","10111111"
"735","90","7","1111111"
"736","90","7","1111111"
"737","90","5","11110"
"738","90","4","1111"
"739","91","5","11111"
"740","91","5","11111"
"741","91","7","1101111"
"742","91","6","111111"
"743","91","4","1111"
"744","91","4","1111"
"745","91","5","00000"
"746","91","3","000"
"747","92","5","00000"
"748","92","3","110"
"749","92","4","1000"
"750","92","3","000"
"751","92","4","0000"
"752","92","9","000000000"
"753","92","6","000000"
"754","92","5","00000"
"755","93","3","11"
"756","93","3","11"
"757","93","6","111111"
"758","93","4","1111"
"759","93","4","1111"
"760","93","3","000"
"761","93","4","0111"
"762","93","5","11111"
"763","94","5","11111"
"764","94","4","1111"
"765","94","4","1010"
"766","94","3","010"
"767","95","5","11"
"768","95","5","11111"
"769","95","6","110110"
"770","95","5","11101"
"771","95","4","1101"
"772","95","3","111"
"773","95","3","100"
"774","96","4","1111"
"775","96","4","1111"
"776","96","3","111"
"777","96","3","111"
"778","96","3","111"
"779","96","3","111"
"780","97","11","000"
"781","97","15","000000000000000"
"782","97","10","0000000000"
"783","97","8","00000000"
"784","97","6","000000"
"785","98","7","0010010"
"786","98","3","000"
"787","99","16","00"
"788","99","9","000000000"
"789","99","10","0000000000"
"790","99","14","00000000000000"
"791","99","4","0000"
"792","99","14","00000000000000"
"793","99","14","00001100000000"
"794","99","10","0000000000"
"795","100","8","11111111"
"796","100","5","00000"
"797","100","6","111111"
"798","100","4","0000"
"799","100","7","1111111"
"800","101","8","00000000"
"801","101","3","000"
"802","102","7","0000000"
"803","103","4","1"
"804","103","6","011111"
"805","103","4","1111"
"806","103","6","111111"
