"","x"
"243",0.0609269947045874
"244",0.0609269947045874
"245",0.0198945288831306
"246",0.0348154255454785
"247",0.6
"248",0.064
"249",0.0576
"250",0.0864
"251",0.106622240733028
"252",0.00619639775943697
"253",0.0348154255454785
"254",0.0337359433569346
"255",0.0348154255454785
"256",0.0144582614386863
"257",0.106622240733028
"258",0.186588921282799
"259",0.186588921282799
"260",0.186588921282799
"261",0.428571428571429
"262",0.428571428571429
"263",0.106622240733028
"264",0.0456952460284406
"265",0.0261115691591089
"266",0.0609269947045874
"267",0.0337359433569346
"268",0.0198945288831306
"269",0.0261115691591089
"270",0.0261115691591089
"271",0.0787172011661808
"272",0.0625
"273",0.03125
"274",0.0078125
"275",0.015625
"276",0.015625
"277",0.015625
"278",0.0625
"279",0.064
"280",0.064
"281",0.064
"282",0.064
"283",0.0279936
"284",0.046656
"285",0.0777600000000001
"286",0.046656
"287",0.046656
"288",0.01024
"289",0.0186624
"290",0.0279936
"291",0.020736
"292",0.0124416
"293",0.25
"294",0.03125
"295",0.03125
"296",0.0625
"297",0.015625
"298",0.03125
"299",0.03125
"300",0.0078125
"301",0.0078125
"302",0.0078125
"303",0.096
"304",0.00403107840000001
"305",0.031104
"306",0.0186624
"307",0.1296
"308",0.6
"309",0.6
"310",0.6
"311",0.6
"312",0.1296
"313",0.0777600000000001
"314",0.1296
"315",0.1296
"316",0.00671846400000001
"317",0.00403107840000001
"318",0.010077696
"319",0.01679616
"320",0.0124416
"321",0.0864
"322",0.03125
"323",0.03125
"324",0.0078125
"325",0.00390625
"326",0.015625
"327",0.00390625
"328",0.00390625
"329",0.0625
"330",0.0078125
"331",0.0078125
"332",0.0078125
"333",0.03125
"334",0.36
"335",0.05184
"336",0.1296
"337",0.1296
"338",0.0777600000000001
"339",0.144
"340",0.1296
"341",0.1296
"342",0.064
"343",0.4
"344",0.0256
"345",0.0576
"346",0.064
"347",0.125
"348",0.125
"349",0.0625
"350",0.015625
"351",0.015625
"352",0.03125
"353",0.03125
"354",0.0625
"355",0.125
"356",0.571428571428572
"357",0.571428571428572
"358",0.571428571428572
"359",0.571428571428572
"360",0.0348154255454785
"361",0.00121211385591276
"362",0.0762078951379363
"363",0.106622240733028
"364",0.186588921282799
"365",0.186588921282799
"366",0.00371209868373282
"367",0.0026555990397587
"368",0.000909085391934569
"369",0.00371209868373282
"370",0.00619639775943697
"371",0.0609269947045874
"372",0.0456952460284406
"373",0.666666666666667
"374",0.00128455777154316
"375",0.00137174211248285
"376",0.00274348422496571
"377",0.00137174211248285
"378",0.0658436213991769
"379",0.148148148148148
"380",0.625
"381",0.146484375
"382",0.0372529029846191
"383",0.5
"384",0.5
"385",0.5
"386",0.5
"387",0.015625
"388",0.0078125
"389",0.000244140625
"390",0.00048828125
"391",0.00048828125
"392",0.0009765625
"393",0.00048828125
"394",0.001953125
"395",0.001953125
"396",0.0078125
"397",0.0078125
"398",0.03125
"399",0.0625
"400",0.0625
"401",0.0625
"402",0.00390625
"403",0.555555555555556
"404",0.00770734662925894
"405",0.000676639484598864
"406",0.0487730528882792
"407",0.05184
"408",0.0777600000000001
"409",0.0055296
"410",0.0279936
"411",0.01679616
